rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,long_term,Ken Carson,rage rap,81,2999863,2025-07-16T03:06:25.177448
2,long_term,Playboi Carti,rage rap,90,14476348,2025-07-16T03:06:25.177490
3,long_term,beabadoobee,bedroom pop,82,5998354,2025-07-16T03:06:25.177499
4,long_term,Destroy Lonely,rage rap,74,1617615,2025-07-16T03:06:25.177504
5,long_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231604,2025-07-16T03:06:25.177511
6,long_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1420007,2025-07-16T03:06:25.177518
7,long_term,Men I Trust,"bedroom pop,indie pop",74,2242660,2025-07-16T03:06:25.177525
8,long_term,OsamaSon,"rage rap,underground hip hop",69,355348,2025-07-16T03:06:25.177532
9,long_term,Lil Uzi Vert,melodic rap,86,18945880,2025-07-16T03:06:25.177538
10,long_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,655741,2025-07-16T03:06:25.177543
11,long_term,Steve Lacy,,81,6108395,2025-07-16T03:06:25.177548
12,long_term,Cochise,rage rap,65,848649,2025-07-16T03:06:25.177555
13,long_term,LUCKI,cloud rap,79,1669726,2025-07-16T03:06:25.177560
14,long_term,Kero Kero Bonito,,56,555452,2025-07-16T03:06:25.177565
15,long_term,PinkPantheress,bedroom pop,83,4413740,2025-07-16T03:06:25.177571
16,long_term,Clairo,bedroom pop,82,6254438,2025-07-16T03:06:25.177579
17,long_term,"Tyler, The Creator",,90,22839732,2025-07-16T03:06:25.177583
18,long_term,Drake,rap,99,99864702,2025-07-16T03:06:25.177589
19,long_term,Pi’erre Bourne,melodic rap,66,1074636,2025-07-16T03:06:25.177596
20,long_term,Glokk40Spaz,underground hip hop,64,298009,2025-07-16T03:06:25.177599
21,long_term,Kanye West,rap,93,30328238,2025-07-16T03:06:25.177606
22,long_term,Faye Webster,,75,1990609,2025-07-16T03:06:25.177611
23,long_term,SoFaygo,rage rap,68,868440,2025-07-16T03:06:25.177616
24,long_term,Summrs,underground hip hop,63,509271,2025-07-16T03:06:25.177621
25,long_term,Autumn!,underground hip hop,64,606695,2025-07-16T03:06:25.177628
26,long_term,"Lucie,Too","japanese indie,j-rock",28,39219,2025-07-16T03:06:25.177636
27,long_term,Yeat,rage rap,81,5820257,2025-07-16T03:06:25.177644
28,long_term,Lil Tecca,"melodic rap,rap",87,9772390,2025-07-16T03:06:25.177651
29,long_term,jahhde,rage rap,49,30110,2025-07-16T03:06:25.177659
30,long_term,Homixide Gang,rage rap,62,532385,2025-07-16T03:06:25.177665
31,long_term,ian,,72,578781,2025-07-16T03:06:25.177672
32,long_term,Rich Amiri,rage rap,68,744395,2025-07-16T03:06:25.177678
33,long_term,Rex Orange County,bedroom pop,79,6577012,2025-07-16T03:06:25.177686
34,long_term,1oneam,underground hip hop,57,99651,2025-07-16T03:06:25.177693
35,long_term,Tay-K,,65,3759777,2025-07-16T03:06:25.177700
36,long_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo",67,582066,2025-07-16T03:06:25.177707
37,long_term,Summer Walker,r&b,80,7746990,2025-07-16T03:06:25.177715
38,long_term,Thouxanbanfauni,"cloud rap,melodic rap",56,277257,2025-07-16T03:06:25.177722
39,long_term,D. Savage,cloud rap,61,564216,2025-07-16T03:06:25.177728
40,long_term,Ethereal,cloud rap,53,96043,2025-07-16T03:06:25.177734
41,long_term,Yameii Online,"hyperpop,glitch",48,194906,2025-07-16T03:06:25.177738
42,long_term,Kid Cudi,,81,7564830,2025-07-16T03:06:25.177744
43,long_term,The Marías,bedroom pop,86,3056191,2025-07-16T03:06:25.177749
44,long_term,Daniel Caesar,,86,9893193,2025-07-16T03:06:25.177753
45,long_term,Che,"rage rap,underground hip hop",63,249726,2025-07-16T03:06:25.177758
46,long_term,Nine Vicious,underground hip hop,62,44775,2025-07-16T03:06:25.177763
47,long_term,Nettspend,"underground hip hop,rage rap",66,302641,2025-07-16T03:06:25.177771
48,long_term,sneak,underground hip hop,39,7664,2025-07-16T03:06:25.177778
49,long_term,Ichiko Aoba,"japanese indie,shibuya-kei",63,920991,2025-07-16T03:06:25.177781
50,long_term,Anri,"city pop,kayokyoku,j-pop",63,500139,2025-07-16T03:06:25.177786
