played_at,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
2025-07-15T21:51:09.927Z,2u5z4v0xgOOIpIlbPLeNXw,Me N My Kup,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),234032,57,True,2025-07-16T03:06:20.329597
2025-07-15T21:47:24.093Z,6xZYGIixR3zhhOHwu7UEMY,mewtwo,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),128000,68,True,2025-07-16T03:06:20.329995
2025-07-15T21:45:23.883Z,4c1LjGTCF8kMEikirzFgkm,toxic,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),165353,61,True,2025-07-16T03:06:20.330007
2025-07-15T21:42:52.165Z,0SGxi7UBdXqsPpzhQ6PIY9,Nightcore,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),187048,53,True,2025-07-16T03:06:20.330020
2025-07-15T21:39:48.345Z,0tQoVoZpIt7eVyaw8TKKLa,Dismantled,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,144421,55,True,2025-07-16T03:06:20.330031
2025-07-15T21:37:32.377Z,4mUNdVaHEHbnBQDosj68fX,Evolution,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,193704,56,True,2025-07-16T03:06:20.330041
2025-07-15T21:34:26.062Z,3J2ZpP5eNMQwqtpVjf8BBd,Money Spread,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,105191,59,True,2025-07-16T03:06:20.330079
2025-07-15T21:32:49.190Z,1wPCBB4acIU7nbtqTaiQ6o,Psycho,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,138101,58,True,2025-07-16T03:06:20.330086
2025-07-15T21:30:38.634Z,6kXrehR4g6Mkr1qwEDgrLh,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,156412,56,True,2025-07-16T03:06:20.330093
2025-07-15T21:26:28.978Z,1IsTAirdLWvepahSLS2RuK,LiveLeak,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,190541,62,True,2025-07-16T03:06:20.330103
2025-07-15T21:23:13.079Z,4h8esPWnePAuECCHywEi6z,Lord Of Chaos,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,121957,62,True,2025-07-16T03:06:20.330118
2025-07-15T21:21:12.616Z,3j3SfV4hAcR4XjCvW393Gr,POP OUT,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,161738,70,True,2025-07-16T03:06:20.330133
2025-07-15T21:18:39.409Z,4zK082ykqJzJGzC64NXjp1,LIKE WEEZY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,115600,75,True,2025-07-16T03:06:20.330146
2025-07-15T21:16:51.553Z,4uoADk7q83CHvXHW3k1etM,OLYMPIAN,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,174733,74,True,2025-07-16T03:06:20.330158
2025-07-15T21:14:05.241Z,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-16T03:06:20.330369
2025-07-15T21:02:26.395Z,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-16T03:06:20.330388
2025-07-15T20:59:31.306Z,4c1LjGTCF8kMEikirzFgkm,toxic,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),165353,61,True,2025-07-16T03:06:20.330400
2025-07-15T16:59:22.590Z,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-16T03:06:20.330410
2025-07-15T16:56:21.978Z,2AxMqRbs9U6JBJaS3GL5wx,just score it,0uj6QiPsPfK8ywLC7uwBE1,OsamaSon,73cibirs94ZVsObZcEdyny,just score it,107786,62,True,2025-07-16T03:06:20.330419
2025-07-15T16:14:00.711Z,5116BQqgzOZ24Dx0ZKkagU,delusional,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,2LHNo0LDY2AszQvSuAMXWy,delusional,131274,65,True,2025-07-16T03:06:20.330432
2025-07-15T16:11:50.379Z,6xZYGIixR3zhhOHwu7UEMY,mewtwo,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),128000,68,True,2025-07-16T03:06:20.330440
2025-07-15T16:10:18.490Z,4c1LjGTCF8kMEikirzFgkm,toxic,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),165353,61,True,2025-07-16T03:06:20.330447
2025-07-15T16:07:34.772Z,4lay3Vtg4Y2m1ftaNNC72r,I Know,6FqXAd1hQl7vVdIQ3hhtgc,D. Savage,5ZcabBrUFEdNpu1Gz6ma1a,I Know,142213,62,True,2025-07-16T03:06:20.330456
2025-07-15T16:01:34.681Z,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-16T03:06:20.330463
2025-07-15T15:42:50.203Z,29KwH2LEjfWEtiC2jCrLVw,Amore mio aiutami - Main Theme,2WPn0emjr8XPmMOT0bBcPe,Piero Piccioni,5ekkoKz391PScKKZRCmgDF,Amore mio aiutami (Original Motion Picture Soundtrack),234026,62,False,2025-07-16T03:06:20.330471
2025-07-15T11:57:04.015Z,7ejepEh5DJ79YI6owGRfkk,New N3on,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,116360,65,True,2025-07-16T03:06:20.330480
