rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,medium_term,Playboi Carti,rage rap,91,14464544,2025-07-13T01:19:44.475947
2,medium_term,Ken Carson,rage rap,81,2994682,2025-07-13T01:19:44.475959
3,medium_term,OsamaSon,"rage rap,underground hip hop",69,353895,2025-07-13T01:19:44.475962
4,medium_term,Men I Trust,"bedroom pop,indie pop",74,2240490,2025-07-13T01:19:44.475964
5,medium_term,PinkPantheress,bedroom pop,83,4399369,2025-07-13T01:19:44.475966
6,medium_term,Pi’erre Bourne,melodic rap,66,1074484,2025-07-13T01:19:44.475968
7,medium_term,Nine Vicious,underground hip hop,61,43728,2025-07-13T01:19:44.475970
8,medium_term,Clairo,bedroom pop,82,6243943,2025-07-13T01:19:44.475972
9,medium_term,Cochise,rage rap,65,848158,2025-07-13T01:19:44.475974
10,medium_term,PlaqueBoyMax,,73,152212,2025-07-13T01:19:44.475976
11,medium_term,"Lucie,Too","japanese indie,j-rock",28,39211,2025-07-13T01:19:44.475978
12,medium_term,"Tyler, The Creator",,90,22800402,2025-07-13T01:19:44.475980
13,medium_term,beabadoobee,bedroom pop,82,5984350,2025-07-13T01:19:44.475981
14,medium_term,pomodorosa,"shibuya-kei,japanese indie,bossa nova",37,25509,2025-07-13T01:19:44.475983
15,medium_term,Steve Lacy,,81,6101706,2025-07-13T01:19:44.475985
16,medium_term,Lil O,rage rap,51,27334,2025-07-13T01:19:44.475987
17,medium_term,grentperez,,66,777786,2025-07-13T01:19:44.475989
18,medium_term,Nettspend,"underground hip hop,rage rap",65,300892,2025-07-13T01:19:44.475995
19,medium_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1418661,2025-07-13T01:19:44.475997
20,medium_term,Destroy Lonely,rage rap,74,1615154,2025-07-13T01:19:44.475999
21,medium_term,Daniel Caesar,,86,9866336,2025-07-13T01:19:44.476001
22,medium_term,SoFaygo,rage rap,62,859879,2025-07-13T01:19:44.476002
23,medium_term,Lil Uzi Vert,melodic rap,86,18939157,2025-07-13T01:19:44.476004
24,medium_term,Minuano,"shibuya-kei,japanese indie,bossa nova",49,71435,2025-07-13T01:19:44.476006
25,medium_term,YT,,58,64746,2025-07-13T01:19:44.476008
26,medium_term,The Marías,bedroom pop,86,3040419,2025-07-13T01:19:44.476009
27,medium_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,654741,2025-07-13T01:19:44.476012
28,medium_term,jahhde,rage rap,49,30022,2025-07-13T01:19:44.476013
29,medium_term,Protect,underground hip hop,56,56830,2025-07-13T01:19:44.476015
30,medium_term,1oneam,underground hip hop,57,99121,2025-07-13T01:19:44.476017
31,medium_term,Kanye West,rap,93,30313544,2025-07-13T01:19:44.476019
32,medium_term,Glokk40Spaz,underground hip hop,64,297359,2025-07-13T01:19:44.476020
33,medium_term,fivestarmax,sexy drill,36,1336,2025-07-13T01:19:44.476022
34,medium_term,SahBabii,melodic rap,59,745656,2025-07-13T01:19:44.476024
35,medium_term,Che,"rage rap,underground hip hop",63,248588,2025-07-13T01:19:44.476026
36,medium_term,mei ehara,"japanese indie,shibuya-kei",50,77223,2025-07-13T01:19:44.476028
37,medium_term,Saki Takaoka,"city pop,kayokyoku,j-pop",18,3307,2025-07-13T01:19:44.476030
38,medium_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231466,2025-07-13T01:19:44.476032
39,medium_term,Thee Sacred Souls,retro soul,74,837812,2025-07-13T01:19:44.476033
40,medium_term,Faye Webster,,75,1985719,2025-07-13T01:19:44.476035
41,medium_term,Lancey Foux,rage rap,60,384458,2025-07-13T01:19:44.476037
42,medium_term,Anri,"city pop,kayokyoku,j-pop",63,499199,2025-07-13T01:19:44.476039
43,medium_term,Satellite Lovers,"shibuya-kei,japanese indie,city pop",35,7777,2025-07-13T01:19:44.476041
44,medium_term,Pitcher56,"shibuya-kei,japanese indie",43,48405,2025-07-13T01:19:44.476043
45,medium_term,Taeko Onuki,"city pop,shibuya-kei,j-pop",57,294374,2025-07-13T01:19:44.476045
46,medium_term,LUCKI,cloud rap,79,1667609,2025-07-13T01:19:44.476046
47,medium_term,Yeat,rage rap,81,5817853,2025-07-13T01:19:44.476048
48,medium_term,SZA,r&b,93,31047160,2025-07-13T01:19:44.476050
49,medium_term,Frank Ocean,,88,19330908,2025-07-13T01:19:44.476052
50,medium_term,Jakob,bedroom pop,55,294009,2025-07-13T01:19:44.476054
