rank,time_range,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
1,medium_term,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,71,True,2025-07-06T23:01:25.647365
2,medium_term,5TsoJj7bFoBbtfYfHpwThH,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,156412,60,True,2025-07-06T23:01:25.647392
3,medium_term,4uoADk7q83CHvXHW3k1etM,OLYMPIAN,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,174733,75,True,2025-07-06T23:01:25.647399
4,medium_term,4zK082ykqJzJGzC64NXjp1,LIKE WEEZY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,115600,75,True,2025-07-06T23:01:25.647424
5,medium_term,754kgU5rWscRTfvlsuEwFp,Kiss Me,0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,0PrcwzkQVEy4y6JPvT5bix,Sixpence None The Richer,208680,87,False,2025-07-06T23:01:25.647434
6,medium_term,3j3SfV4hAcR4XjCvW393Gr,POP OUT,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,161738,71,True,2025-07-06T23:01:25.647441
7,medium_term,2pC3bWbbDBGkn1l6Zpytvc,popstar,0uj6QiPsPfK8ywLC7uwBE1,OsamaSon,1sl7QnYBjvTfYofuhh1KDw,popstar,100420,55,True,2025-07-06T23:01:25.647447
8,medium_term,0A5QC5r1AMUccnd34pOlzs,sol,5A7T1LAGJg5NXySBoIKUmF,Che,2V8w3aCddJJbujHgn95Hx7,closed captions,135255,57,True,2025-07-06T23:01:25.647453
9,medium_term,7aURTqVzpZxkJfboCvGc69,LiveLeak,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,190541,67,True,2025-07-06T23:01:25.647459
10,medium_term,0EMaW6H0JkB84B8ebkkDrI,Money Spread,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,105191,63,True,2025-07-06T23:01:25.647465
11,medium_term,5c53wRvjzKaFBPd8cW06EX,Luv - Bonus,0uj6QiPsPfK8ywLC7uwBE1,OsamaSon,02Mi6lld23cYcBeXbUbo0s,Jump Out (Bonus Tracks),115994,51,True,2025-07-06T23:01:25.647470
12,medium_term,5tRylsadMpm8TydUgq7NWj,OVERLY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,105902,68,True,2025-07-06T23:01:25.647476
13,medium_term,5xNV2RwrVjEo4zEjum9aLh,plaqueboymax im coolin,6hqaTEhJYyCNZmJbONtCst,plaqboi,2J3U3QskqiHtBkLnEa7AtL,plaqueboymax im coolin,87632,25,True,2025-07-06T23:01:25.647481
14,medium_term,0bVeK0Qfg6EIGUXC5PPUMc,Stick,7DBte61KxmRj3urB9gQars,trpdd,0mSkeMLBvt2ttbzUGlbiRC,Stick,167581,39,True,2025-07-06T23:01:25.647486
15,medium_term,3qOJebD6l8ONfeFFaEg1kU,Psycho,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,138101,62,True,2025-07-06T23:01:25.647491
