played_at,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
2025-07-07T01:29:33.919Z,6VLjdregMReJhKp2r32IWo,Natural,4z1P9QhvHGEJzPhQAjXYPE,Shelly,6FarB45iYtZTAuzzqGcAU3,Shelly,163764,65,False,2025-07-06T23:01:18.667698
2025-07-07T01:27:02.130Z,6NLRMu1qF1kJQnntDNWDmy,Lemon Glow,56ZTgzPBDge0OvCGgMO3OY,Beach House,1zN85Ep8w2JORfCe0RHLDP,7,244946,63,False,2025-07-06T23:01:18.667706
2025-07-07T01:23:09.295Z,07bnTdZ6iroLCm4vDZVyb9,Unlucky,7EEefVBNBS3ckwouEl62oB,Lunar Vacation,7j3OfkO7h4uRI2oEhR292P,Unlucky,218093,53,False,2025-07-06T23:01:18.667713
2025-07-06T21:38:10.919Z,6kXrehR4g6Mkr1qwEDgrLh,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,156412,57,True,2025-07-06T23:01:18.667720
2025-07-06T03:41:21.252Z,6rPPngIRwwQYUwuv048TKe,Snap My Finger (feat. PinkPantheress),"6qgnBH6iDM91ipVXv28OMu,78rUTD7y6Cy67W1RVzYs7t","KAYTRANADA,PinkPantheress",4kPTj6wYQUYtgBOZb1E6Pg,TIMELESS,201371,52,True,2025-07-06T23:01:18.667726
2025-07-06T03:37:59.245Z,42ovHG1MWrCXM1WxDBsZqU,brand new,4XYMiEaq0oqFVyBDPfhUfw,Yazida,6MdVJ3hWBLBtfbtLNe2OBd,brand new,101014,48,False,2025-07-06T23:01:18.667732
2025-07-06T03:36:17.784Z,6MGDifi2vBHgHLpqCUmX16,Anticipate,"0cLrgpG3pW4MX4nD8h6qCc,3l0CmX0FuQjFxr8SK7Vqag","El Michels Affair,Clairo",1hy99Geeqk41ERKiyLz0b1,Anticipate,189284,71,False,2025-07-06T23:01:18.667739
2025-07-06T03:33:08.360Z,1ljtQrsf55VCwjqXjro7Po,Another life (feat. Rema),"78rUTD7y6Cy67W1RVzYs7t,46pWGuE3dSwY3bMMXGBvVS","PinkPantheress,Rema",2pOEFqvfxp5uUQ8vQEmVA0,Heaven knows,172173,65,False,2025-07-06T23:01:18.667746
2025-07-06T03:30:15.145Z,6qUzv0oSt9etWKl6p9v7gf,Swag,79NDEw5QWlDC9KaIbogNhS,PlaqueBoyMax,0iNOc23OadZLeGuk1VIz4l,Five Forever (Deluxe),168946,52,True,2025-07-06T23:01:18.667759
2025-07-06T03:27:25.798Z,5XDSvG2s2G756lRapeTSyC,LANGUAGE,4AWvjlD4iEZ6BUl6dHI5CE,lifelessgarments,1sXfS40XfhpYdj4PCWnT4Y,LIFE IS RAGE,130378,28,True,2025-07-06T23:01:18.667766
2025-07-06T03:25:15.667Z,2kgehU3Pkgj6ZiqA0LoaSM,Bon Appétit,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,175943,56,True,2025-07-06T23:01:18.667773
2025-07-06T03:22:18.280Z,7jWqCf4iflrMEkjHGWnk1v,"La Loi, C’est La Loi",3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,153743,56,True,2025-07-06T23:01:18.667782
2025-07-06T03:19:44.020Z,6rdIrOFeXM1k1lX6gXrMeQ,Temps De Chasse,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,220775,55,True,2025-07-06T23:01:18.667790
2025-07-06T03:16:03.136Z,1y5aiIuDFg0SLj7CYjMPOZ,Bleu,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,191040,56,True,2025-07-06T23:01:18.667827
2025-07-06T03:12:51.589Z,5ABrlAFm8bIA3gvUvoc7Sy,Retraite,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,192272,56,True,2025-07-06T23:01:18.667888
