rank,time_range,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
1,short_term,1niQU6ZQCQ7sErJ50BSyVp,fell off (w. plaqueboymax),"1iuurLoajxCVWqPh4Xqs0q,0DVETtFrZ1gvd4OfNNH99F,71IqH3feYMFpIMEYao0nR8","fivestarmax,5STAR,pbmfromthej",29XYVWnOqqGWHY15UVZ8wR,fell off (w. plaqueboymax),121392,32,True,2025-07-06T23:01:23.396287
2,short_term,5TsoJj7bFoBbtfYfHpwThH,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,156412,60,True,2025-07-06T23:01:23.396314
3,short_term,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,71,True,2025-07-06T23:01:23.396324
4,short_term,4zK082ykqJzJGzC64NXjp1,LIKE WEEZY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,115600,75,True,2025-07-06T23:01:23.396333
5,short_term,161j1a5bY9KRtFG4s5YTHT,Free Young Thug,"3iwgpA6jf4fXM5ZuH7qglb,2JJuMFyGSGUltwqf32E8YT","jahhde,Ifys",3BbepA0LB6fp8PaAXFwDnV,Lost Files 4,149639,61,True,2025-07-06T23:01:23.396344
6,short_term,6qUzv0oSt9etWKl6p9v7gf,Swag,79NDEw5QWlDC9KaIbogNhS,PlaqueBoyMax,0iNOc23OadZLeGuk1VIz4l,Five Forever (Deluxe),168946,52,True,2025-07-06T23:01:23.396353
7,short_term,7vn7mg2knnETLga5OhHHwj,Casper,79NDEw5QWlDC9KaIbogNhS,PlaqueBoyMax,0zBzGId66SwQWCsPJgNLY1,Five Forever,197220,62,True,2025-07-06T23:01:23.396361
8,short_term,6CBurTHmYJhIcDD72Qgjnm,Close to you,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,0kSsLJiSSakbOSZrHGlVRP,Close to you,103441,75,False,2025-07-06T23:01:23.396376
9,short_term,2eEbWRXbakzlKm1FIP2cl7,backseat,"1iuurLoajxCVWqPh4Xqs0q,0DVETtFrZ1gvd4OfNNH99F,7pov4fLm5oDEOW60GXwrQg","fivestarmax,5STAR,wayne almighty",4HF83oPwh5Om4exwXCjFur,Five Forever [DELUXE],126131,29,True,2025-07-06T23:01:23.396387
10,short_term,07bnTdZ6iroLCm4vDZVyb9,Unlucky,7EEefVBNBS3ckwouEl62oB,Lunar Vacation,7j3OfkO7h4uRI2oEhR292P,Unlucky,218093,53,False,2025-07-06T23:01:23.396395
