rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,short_term,Nine Vicious,underground hip hop,62,44775,2025-07-16T03:06:23.672331
2,short_term,Pi’erre Bourne,melodic rap,66,1074636,2025-07-16T03:06:23.672352
3,short_term,Ken Carson,rage rap,81,2999863,2025-07-16T03:06:23.672361
4,short_term,PlaqueBoyMax,,74,153307,2025-07-16T03:06:23.672365
5,short_term,Playboi Carti,rage rap,90,14476348,2025-07-16T03:06:23.672373
6,short_term,OsamaSon,"rage rap,underground hip hop",69,355348,2025-07-16T03:06:23.672378
7,short_term,jahhde,rage rap,49,30110,2025-07-16T03:06:23.672382
8,short_term,Shelly,lo-fi indie,64,188488,2025-07-16T03:06:23.672386
9,short_term,lifelessgarments,"rage rap,underground hip hop",39,26061,2025-07-16T03:06:23.672391
10,short_term,Lil Uzi Vert,melodic rap,86,18945880,2025-07-16T03:06:23.672395
11,short_term,The Marías,bedroom pop,86,3056191,2025-07-16T03:06:23.672403
12,short_term,beabadoobee,bedroom pop,82,5998354,2025-07-16T03:06:23.672410
13,short_term,Cochise,rage rap,65,848649,2025-07-16T03:06:23.672414
14,short_term,PinkPantheress,bedroom pop,83,4413740,2025-07-16T03:06:23.672419
15,short_term,Nettspend,"underground hip hop,rage rap",66,302641,2025-07-16T03:06:23.672423
16,short_term,"Tyler, The Creator",,90,22839732,2025-07-16T03:06:23.672428
17,short_term,Kanye West,rap,93,30328238,2025-07-16T03:06:23.672432
18,short_term,Summrs,underground hip hop,63,509271,2025-07-16T03:06:23.673125
19,short_term,Lil O,rage rap,51,27529,2025-07-16T03:06:23.673138
20,short_term,LUCKI,cloud rap,79,1669726,2025-07-16T03:06:23.673152
21,short_term,SahBabii,melodic rap,63,746138,2025-07-16T03:06:23.673157
22,short_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1420007,2025-07-16T03:06:23.673162
23,short_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo",67,582066,2025-07-16T03:06:23.673167
24,short_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231604,2025-07-16T03:06:23.673172
25,short_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,655741,2025-07-16T03:06:23.673175
26,short_term,Los Retros,"latin indie,bedroom pop",61,524681,2025-07-16T03:06:23.673179
27,short_term,Minuano,"shibuya-kei,japanese indie,bossa nova",49,71582,2025-07-16T03:06:23.673183
28,short_term,Foo Fighters,"rock,post-grunge,alternative rock,grunge",79,12713882,2025-07-16T03:06:23.673187
29,short_term,Glokk40Spaz,underground hip hop,64,298009,2025-07-16T03:06:23.673190
30,short_term,Men I Trust,"bedroom pop,indie pop",74,2242660,2025-07-16T03:06:23.673194
31,short_term,Maroon 5,pop,89,45171994,2025-07-16T03:06:23.673197
32,short_term,Travis Scott,rap,94,39582126,2025-07-16T03:06:23.673200
33,short_term,XXXTENTACION,emo rap,88,50739101,2025-07-16T03:06:23.673204
34,short_term,Destroy Lonely,rage rap,74,1617615,2025-07-16T03:06:23.673208
35,short_term,SoFaygo,rage rap,68,868440,2025-07-16T03:06:23.673211
36,short_term,Yeat,rage rap,81,5820257,2025-07-16T03:06:23.673214
37,short_term,Lil Tecca,"melodic rap,rap",87,9772390,2025-07-16T03:06:23.673218
38,short_term,1oneam,underground hip hop,57,99651,2025-07-16T03:06:23.673222
39,short_term,Clairo,bedroom pop,82,6254438,2025-07-16T03:06:23.673225
40,short_term,Slow Pulp,,58,230130,2025-07-16T03:06:23.673230
41,short_term,Protect,underground hip hop,56,57221,2025-07-16T03:06:23.673234
42,short_term,xaviersobased,"cloud rap,underground hip hop",62,161583,2025-07-16T03:06:23.673238
43,short_term,SZA,r&b,93,31108174,2025-07-16T03:06:23.673241
44,short_term,pomodorosa,"shibuya-kei,japanese indie,bossa nova",38,25603,2025-07-16T03:06:23.673245
