played_at,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
2025-07-12T18:52:38.525Z,6rdIrOFeXM1k1lX6gXrMeQ,Temps De Chasse,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,220775,55,True,2025-07-13T01:19:41.316878
2025-07-12T18:48:55.218Z,1y5aiIuDFg0SLj7CYjMPOZ,Bleu,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,191040,56,True,2025-07-13T01:19:41.317021
2025-07-12T18:45:55.259Z,5ABrlAFm8bIA3gvUvoc7Sy,Retraite,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,192272,56,True,2025-07-13T01:19:41.317034
2025-07-12T18:42:55.952Z,7MzdamT9kZ3uFFWOLjYN30,En été,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,167105,54,True,2025-07-13T01:19:41.317047
2025-07-12T18:40:19.819Z,4s4m1kZ7tvbfK6Xx7CWSsv,Fuck Yo Gang,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,5DMe4KTlpZN60riRr8hr8g,B4FN,130285,53,True,2025-07-13T01:19:41.317060
2025-07-12T18:38:21.662Z,0JCy7Tt1zeU0Va2g6mde5W,IMY,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,5DMe4KTlpZN60riRr8hr8g,B4FN,139867,54,True,2025-07-13T01:19:41.317069
2025-07-12T18:36:11.478Z,3a3zDlE4bgI6ZvU00m6o84,Cross Your Mind,4z1P9QhvHGEJzPhQAjXYPE,Shelly,4THHnIlzoybD2SpgzsAmCX,Shelly 2,228692,75,False,2025-07-13T01:19:41.317089
2025-07-12T18:32:38.347Z,4A6zEXlSk7xIIqDh92iZ26,It's Our Love,0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,6Bq78nvB8jyxF9dQIdCahr,Will I See You Again?,227906,70,False,2025-07-13T01:19:41.317104
2025-07-12T18:28:58.369Z,6VLjdregMReJhKp2r32IWo,Natural,4z1P9QhvHGEJzPhQAjXYPE,Shelly,6FarB45iYtZTAuzzqGcAU3,Shelly,163764,66,False,2025-07-13T01:19:41.317116
2025-07-12T18:26:26.206Z,6NLRMu1qF1kJQnntDNWDmy,Lemon Glow,56ZTgzPBDge0OvCGgMO3OY,Beach House,1zN85Ep8w2JORfCe0RHLDP,7,244946,64,False,2025-07-13T01:19:41.317126
2025-07-12T18:22:40.779Z,07bnTdZ6iroLCm4vDZVyb9,Unlucky,7EEefVBNBS3ckwouEl62oB,Lunar Vacation,7j3OfkO7h4uRI2oEhR292P,Unlucky,218093,52,False,2025-07-13T01:19:41.317146
2025-07-12T18:19:07.375Z,1hGfLiyP85XyiJDHLJP9sV,New Means,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,146666,53,True,2025-07-13T01:19:41.317156
2025-07-12T18:16:52.610Z,4ZAGw4waA4eWG9zvI1KVgU,Valley,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,109714,53,True,2025-07-13T01:19:41.317168
2025-07-12T18:15:01.053Z,4ZAGw4waA4eWG9zvI1KVgU,Valley,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,109714,53,True,2025-07-13T01:19:41.317181
